vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
FORD,TERITORY,SUV 5 PUERTAS,4x2,JMC 1.5 Ecoboost GTDI ,1490,105,AUTOMATICA,NAFTA,EURO V,,,CN21060164,IDIADA,208,110,73,87,87
LEXUS,NX300,SUV,4x4,TOYOTA 8AR-FTS,1998,,AUTOMATICA,NAFTA,EURO V,,28/11/2018,H1460161643/337,AIB-VINÇOTTE International n.v.,196,110,70,84,84
LEXUS,NX350,SUV,4x4,TOYOTA T24A-FTS,2393,205,AUTOMATICA,NAFTA,EURO VI,907,20/08/2021,H2160161643/1242,VINÇOTTE nv,187,110,66,82,82
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,200,1103,670,83,83
AUDI,Q8,STATION WAGON - SUV - CROSSOVER 4 PUERTAS CON PORTÓN TRASERO,4x4,AUDI DCBD / CONTINENTAL BSG-HP1-65,2995,,AUTOMATICA,ELECTRICIDAD,EURO VI b,,1/10/2018,AUA5507A,ATE-EL LUXEMBOURG,210,111,8,92,92
MERCEDES-BENZ,GLE 450 4MATIC,FAMILIAR 4 PUERTAS,4x4,MERCEDES-BENZ 256.930 / MELCO EM0014,2999,270,AUTOMATICA,ELECTRICIDAD,387,,30/05/2019,42.04.1409.03,TÜV NORD Mobil,207,111,8,91,91
HAVAL,H6,RURAL,4x2,GREAT WALL GW4C20,1967,140,MANUAL,NAFTA,,,22/04/2019,LC 1157 026 17,LUXCONTROL S.A.,203,111,75,88,88
RENAULT,DUSTER 2.0 16v,SEDAN 5 PUERTAS,4x2,RENAULT F4R E4,1998,105,MANUAL,NAFTA,EURO V,,,R1-0210/17,DELPHI,19886,1113,698,852,852
RENAULT,DUSTER 1.6 16V,SEDAN 5 PUERTAS,4x2,RENAULT K4M 28,1599,77,MANUAL,NAFTA,EURO V,,,R2-0237/17,DELPHI,19796,1114,69,846,846
BORGWARD,BX5,SEDAN,4x2,BORGWARD BWE418A,1797,,MANUAL,NAFTA,EURO V,,25/07/2018,CN17030294,IDIADA,1947,1116,648,82,82
BMW,X5 xDRIVE 40i (5 ASIENTOS),RURAL,4x4,BMW B58B30C,2998,,AUTOMATICA,NAFTA,EURO VI b,,9/1/2019,201844716,DEKRA,211,112,81,92,92
RENAULT,DUSTER 2.0 16v 4X4,SEDAN 5 PUERTAS,4X4,RENAULT F4R E4,1998,105,MANUAL,NAFTA,EURO V,,,R1-0209/17,DELPHI,19974,1120,701,855,855
FIAT,TORO FREEDOM 1.8 AT6. TORO ENDURANCE 1.8 AT6,PICK UP,4x2,FCA 55281002,1747,95.6,AUTOMATICA,NAFTA,EURO V,827,23/02/2021,3201218,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL,19538,1125,669,837,837
HYUNDAI,TUCSON,SUV,4x2,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,120,1126,631,81,81
TOYOTA,HILUX,PICK UP CABINA DOBLE,4x4,TOYOTA 1GD-FTV,2755,,MANUAL,GAS OIL,EURO V,,22/06/2018,VST409957,VCA,226,113,70,86,86
FORD,RANGER,PICK UP,4x2,FORD 3.2L GAS OIL (SA2S),3198,147,AUTOMATICA,GAS OIL,EURO V,556,10/1/2020,OSR335418AT(P-5-16),VCA,225,113,69,85,85
MERCEDES-BENZ,VITO 121. VITO TOURER 121 ,FAMILIAR,4x2,MERCEDES-BENZ M274 (274.920),1991,155,AUTOMATICA,NAFTA,415,,9/8/2019,42.04.521.00,TÜV NORD Mobil,211,113,76,9,9
CHEVROLET,MONTANA 1.8,FURGONETA,4x2,CHEVROLET A18XE (1.8 SOHC),1796,,MANUAL,NAFTA,EURO V,,31/01/2017,CPLE 085/2016,GENERAL MOTORS DO BRASIL LTDA.,330,1135,668,840,840
CHEVROLET,S10 2.8,PICK UP,4x2,4x2 - 4x4,4000,2776,MANUAL,GAS OIL,EURO V,,,18/01/2018,CPLE 030/2018,23862,1137,775,908,
RENAULT,SANDERO 2.6 16V RS,SEDAN 5 PUERTAS,4x2,RENAULT F4R E4,1998,103,MANUAL,NAFTA,EURO V,,27/03/2015,R1-0642/14,DELPHI,230,1137,671,842,842
TOYOTA,RAV4,SUV,4x4,TOYOTA 2AR-FE,2494,,AUTOMATICA,NAFTA,EURO V,,31/01/2018,H1660550047/253 Ext. 02,VINÇOTTE nv,1977,114,69,85,85
RENAULT,MEGANE RS 1.8 I6v,SEDAN 5 PUERTAS,4x2,RENAULT M5P P4,1798,221,MANUAL,NAFTA,EURO VI b,,8/4/2021,20/03757,UTAC,1945,114,65,83,83
HYUNDAI,H350,FURGON / CHASIS CON CABINA,4x2,HYUNDAI D4CB,2497,,MANUAL,GAS OIL,EURO V,,24/06/2015,KR14080044,IDIADA,200,114,81,94,94
