vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
CHEVROLET,COBALT 1.8 TRANSMISIÓN AUTOMATICA,SEDÁN 4 PUERTAS,4x2,CHEVROLET A18XE / LJ1 (1.8 SOHC),1796,,MANUAL,NAFTA,EURO V,,18/01/2018,CPLE 076/2016 Rev.2,CAMPO DE PROVAS DA CRUZ ALTA,186.39,11.54,5.86,7.91,
CHEVROLET,COBALT 1.8 TRANSMISIÓN AUTOMATICA,SEDÁN 4 PUERTAS,4x2,CHEVROLET A18XE / LJ1 (1.8 SOHC),1796,77.2,AUTOMATICA,NAFTA,EURO V,524,14/11/2019,CPLE 076/2016 Rev.2,GENERAL MOTORS DO BRASIL LTDA.,186.39,11.54,5.86,7.91,7.91
TOYOTA,LAND CRUISER 200,SUV,4x4,TOYOTA 1VD-FTV,4461,,AUTOMATICA,GAS OIL,EURO V,,4/10/2017,H1860666086/241,VINÇOTTE nv,260.7,11.56,8.94,9.9,9.9
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI G4NA,1999,,MANUAL,NAFTA,EURO V,,10/11/2015,VSQ316426,VCA,130,11.59,6.86,8.60,8.60
KIA,SPORTAGE,RURAL,4x4,HYUNDAI o KIA G4NA-5 o G4NA,1999,114,MANUAL,NAFTA,EURO V,,28/04/2016,83-V039-133042998-105,TÜV Rheinland,200,11.6,6.9,8.6,8.6
BMW,X5 xDRIVE 40i (7 ASIENTOS),RURAL,4x4,BMW B58B30C,2998,,AUTOMATICA,NAFTA,EURO VI b,,9/1/2019,201844716,DEKRA,215,11.6,8.2,9.4,9.4
BMW,X4 M40i,SEDÁN 5 PUERTAS,4x4,BMW B58B30A,2998,,AUTOMATICA,NAFTA,EURO VI c,,17/10/2018,201743801,DEKRA,210,11.6,7.8,9.2,9.2
AUDI,RS5 – RS5 COUPÉ,COUPÉ 2 PUERTAS,4x4,AUDI DECA,2894,,MANUAL,NAFTA,304,,26/04/2019,AUA5390C,ATE-EL LUXEMBOURG,199,11.6,7.2,8.8,8.8
MERCEDES-BENZ,C 400 4MATIC,SEDÁN 4 PUERTAS - COUPÉ 2 PUERTAS,4x4,MERCEDES-BENZ 276.823,2996,,MANUAL,NAFTA,EURO VI b,,3/4/2019,42.04.1419.02,TÜV NORD Mobilität,188,11.6,6.3,8.3,8.3
FORD,ECOSPORT,SUV,4x4,FORD 2.0L GDI,1999,125,MANUAL,NAFTA,EURO V,,25/04/2018,TR83-USS357051 Rev. 1,VCA,200.43,11.65,6.93,8.65,8.65
CHEVROLET,S10 2.8,PICK UP,4x2, 4x4,1200,2776,AUTOMATICA,GAS OIL,EURO V,,859,19/04/2021,US20120011,244,11.7,7.9,9.3,
FORD,RANGER,PICK UP,4x4,FORD 3.2L GAS OIL (SA2S),3198,147,AUTOMATICA,GAS OIL,EURO V,556,10/1/2020,OSQ319373(13),VCA,240,11.7,7.6,9.1,9.1
MERCEDES-BENZ,MERCEDES-AMG GLE 53 4MATIC+ (167.361),FAMILIAR 4 PUERTAS,4x4,MERCEDES BENZ 256.930 / MELCO EM0014,2999,320,AUTOMATICA,ELECTRICIDAD,EURO VI,691,23/07/2020,42.04.1462.01,TÜV NORD,212,11.7,7.9,9.3,9.3
LIFAN,X70,SUV,4x2,LIFAN LF483Q,1998,,MANUAL,NAFTA,EURO V,,6/2/2018,89-R83-527/17-00,TÜV Rheinland,207,11.7,6.9,8.7,8.7
