vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_id_motor,vehiculo_cilindrada,vehiculo_potencia,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,lca_numero,fecha_firma,ensayo_gei_numero,ensayo_gei_laboratorio,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto,id_etiqueta
MERCEDES-BENZ,MERCEDES-AMG C 43 4 MATIC,FAMILIAR-CABRIOLET,4x4,MERCEDES-BENZ 276.823,2996,,AUTOMATICA,NAFTA,EURO VI b,,29/01/2019,42.04.1419.00,TÜV NORD Mobilität,222,13.5,7.6,9.7,9.7
JEEP,WRANGLER: SPORT / SAHARA // UNLIMITED SPORT / UNLIMITED SAHARA,BERLINA,4x4,FCA G,3604,,AUTOMATICA,NAFTA,EURO V,,8/10/2018,RDW-83R-062341 Corr.01,RDW,235.27,13.54,8.09,10.10,10.10
HYUNDAI,SANTA FE HTRACK,RURAL 5 PUERTAS -- TODOTERRENO,4x4,HYUNDAI G4KE,2359,,AUTOMATICA,NAFTA,EURO V,,6/12/2018,KR18030151,IDIADA,231.8,13.55,7.76,9.91,9.91
KIA,SORENTO,RURAL,4x4,HYUNDAI O KIA G4KE-5 o G4KE,2359,126,MANUAL,NAFTA,EURO V,,27/03/2015,KR17050187,IDIADA,280,13.7,7.0,9.5,9.5
FORD,MONDEO,SEDÁN 4 Y 5 PUERTAS,4x2,FORD 2.0L I4 GTDI,1999,179,AUTOMATICA,NAFTA,EURO V,,,T02-USQ231689 Rev1,VCA,290,13.72,7.81,9.97,9.97
AUDI,A8 - A8 L,SEDÁN 4 PUERTAS,4x4,AUDI CXYA / CONTINENTAL BSG-HP1-65,3996,338,AUTOMATICA,ELECTRICIDAD,155,,21/09/2018,AUA5534A,ATE-EL LUXEMBOURG,228.0,13.8,7.9,10.1,10.1
KIA,K2500. BONGO. BONGO K2500,PICK UP,4x2,HYUNDAI o KIA D4CB,2497,96,MANUAL,GAS OIL,EURO V,849,29/03/2021,T02 BSW506594 00,VCA,283,13.9,9.2,11,11
HYUNDAI,SANTA FE HTRACK,RURAL 5 PUERTAS -- TODOTERRENO,4x4,HYUNDAI G4KE,2359,,AUTOMATICA,NAFTA,EURO V,,6/12/2018,KR18030151,IDIADA,239.4,13.92,8.09,10.23,10.23
JEEP,GRAND CHEROKEE: LAREDO 3.6. LIMITED 3.6. OVERLAND 3.6 / SUMMIT 3.6,BERLINA,4x4,FCA G,3604,210,AUTOMATICA,NAFTA,EURO V,576,10/1/2020,RDW-83R-0085285,RDW,245,13.94,8.3,10.38,10.38
MERCEDES-BENZ,MERCEDES-AMG C63,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 177.980,3982,,MANUAL,NAFTA,EURO VI b,,28/03/2019,42.04.1424.00,TÜV NORD Mobilität,232,14.0,7.9,10.2,10.2
KIA,SORENTO,RURAL,4x4,HYUNDAI O KIA G4KE-5 o G4KE,2359,126,AUTOMATICA,NAFTA,EURO V,,22/03/2015,KR17050187,IDIADA,295,14.1,7.5,9.9,9.9
MERCEDES-AMG,C 63 - C 63 S,COUPÉ 2 PUERTAS,4x2,MERCEDES-BENZ 177.980,3982,350 - 375,MANUAL,NAFTA,EURO VI,,23/04/2019,42.04.1424.00,TÜV NORD Mobilität,216.9,14.1,8.0,10.3,10.3
MERCEDES-BENZ,MERCEDES-AMG GLC 43 4MATIC,FAMILIAR 4 PUERTAS y PORTÓN TRASERO,4x4,MERCEDES-BENZ 276.823,2996,287,AUTOMATICA,NAFTA,EURO VI,636,17/03/2020,19-00006-CZ-BWG-00,TÜV SÜD Czech,230,14.1,7.8,10.1,10.1
MERCEDES-BENZ,MERCEDES-AMG C63 S,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 177.980,3982,,MANUAL,NAFTA,EURO VI b,,28/03/2019,42.04.1424.00,TÜV NORD Mobilität,237,14.2,8.1,10.4,10.4
MASERATI,GHIBLI SQ4,BERLINA 4 PUERTAS,4x4,MASERATI M156E,2979,,AUTOMATICA,NAFTA,EURO VI,,28/11/2018,H0461/2/BO,CENTRO PROVA AUTOVEICOLI DI BOLOGNA,225.03,14.23,7.16,9.74,9.74
JEEP,WRANGLER: RUBICON / UNLIMITED RUBICON,BERLINA,4x4,FCA G,3604,,AUTOMATICA,NAFTA,EURO V,,8/10/2018,RDW-83R-0062154 Corr.01,RDW,252.47,14.37,8.78,10.84,10.84
McLAREN,GT,COUPÉ,4x2,McLAREN 40JBAN,3994,456,AUTOMATICA,NAFTA,EURO VI,780,1/12/2020,PC19110460,IDIADA,245,14.49,8.54,10.71,10.71
BAIC,X65,SEDÁN,4x2,BAIC B205EFA,1992,,MANUAL,NAFTA,EURO V,,8/10/2018,CSR330722,VCA,259,14.5,8.6,10.8,10.8
BMW,M850i xDRIVE,COUPÉ,4x4,BMW N63B44D,4395,,AUTOMATICA,NAFTA,EURO VI b,,17/01/2019,201845307,DEKRA,238,14.6,8.0,10.4,10.4
LAND ROVER,RANGE ROVER SPORT,RURAL 4/5 PUERTAS,4x4,FORD 306PS,2995,,MANUAL,NAFTA,EURO V,,16/05/2018,ESQ320217,VCA,258,14.9,8.4,10.8,10.8
MERCEDES-BENZ,G 500,FAMILIAR,4x4,MERCEDES-BENZ 176.980,3982,,AUTOMATICA,NAFTA,EURO VI,,17/10/2018,42.04.1417.00,TÜV NORD Mobilität,287.0,15.1,10.4,12.1,12.1
MERCEDES-AMG,MERCEDES-AMG GT 63 S 4MATIC+,SEDÁN 4 PUERTAS,4x4,MERCEDES-BENZ 177.980,3982,470,MANUAL,NAFTA,EURO VI,,22/04/2019,42.04.1415.01,TÜV NORD Mobilität,247.1,15.1,9.1,11.3,11.3
MERCEDES-AMG,MERCEDES-AMG GT C,COUPÉ 2 PUERTAS,4x2,MERCEDES-BENZ 178.980,3982,410,MANUAL,NAFTA,,,26/04/2019,42.04.1430.00,TÜV NORD Mobilität,259,15.1,9,11.4,11.4
HYUNDAI,SANTA FE 3.5 HTRAC,TODOTERRENO,4x4,HYUNDAI G6DC,3470,,AUTOMATICA,NAFTA,EURO V,,6/12/2018,KR18030159,IDIADA,255.1,15.19,8.39,10.89,10.89
MERCEDES-AMG,MERCEDES-AMG GT C,CONVERTIBLE 2 PUERTAS,4x2,MERCEDES-BENZ 178.980,3982,410,MANUAL,NAFTA,,,26/04/2019,42.04.1430.00,TÜV NORD Mobilität,261,15.2,9.1,11.5,11.5
JEEP,GLADIATOR RUBICON 3.6L AT8,PICK UP,4x4,FCA G (3.6L),3604,209,AUTOMATICA,NAFTA,EURO VI b,699,23/07/2020,VCA - TR83-USV484615-00,VCA,289,15.3,10.7,12.4,12.4
JEEP,GLADIATOR SPORT 3.6L AT8. GLADIATOR OVERLAND 3.6L AT8,PICK UP,4x4,FCA G (3.6L),3604,209,AUTOMATICA,NAFTA,EURO VI b,698,23/07/2020,VCA - TR83-USV484615-00,VCA,287.3,15.4,10.5,12.3,12.3
TOYOTA,LAND CRUISER PRADO,TODO TERRENO,4x4,TOYOTA 1GR-FE,3956,202,MANUAL,NAFTA,EURO V,,20/11/2017,H1860666086/106,VINÇOTTE nv,300,15.42,9.20,11.49,11.49
TOYOTA,LAND CRUISER PRADO,TODO TERRENO,4x4,TOYOTA 1GR-FE,3956,202,AUTOMATICA,NAFTA,EURO V,865,11/5/2021,H1860666086/106,VINÇOTTE nv,267.8,15.42,9.20,11.49,11.49
FERRARI,488 PISTA,COUPÉ,4x2,FERRARI F154CD,3902,530,AUTOMATICA,NAFTA,TIER 3,538,25/11/2019,0144/ISP/OMLS/18 Rev. 1,CSI S.p.A.,263,16.1,8.9,11.5,11.5
FERRARI,488 PISTA SPIDER,COUPÉ CONVERTIBLE,4x2,FERRARI F154CD,3902,530,AUTOMATICA,NAFTA,TIER 3,538,15/12/2020,0144/ISP/OMLS/18 Rev. 1,CSI S.p.A.,263,16.1,8.9,11.5,11.5
MERCEDES-BENZ,MERCEDES-AMG G 63,FAMILIAR,4x4,MERCEDES-BENZ 177.980,3982,,AUTOMATICA,NAFTA,EURO VI b,,17/10/2018,42.04.1415.00,TÜV NORD Mobilität,299.3,16.4,11.2,13.1,13.1
TOYOTA,HILUX,PICK UP CABINA DOBLE,4x4,TOYOTA 1GR-FE,3956,,MANUAL,NAFTA,EURO V,,13/08/2018,JSQ320063,VCA,282,16.5,9.6,12.1,12.1
McLAREN,720 S SPIDER,COUPÉ,4x2,4x2,3000,3994,AUTOMATICA,NAFTA,EURO VI,,762,4/11/2020,PC19050272,382,16.7,8.6,11.6,
McLAREN,600LT COUPÉ,COUPÉ,4x2,McLAREN 38JBAE,3799,441,AUTOMATICA,NAFTA,EURO VI,775,25/11/2020,PC19050284,IDIADA,369,16.7,7.9,11.7,11.7
McLAREN,720S,COUPÉ,4x2,McLAREN 40JBAG,3994,530,AUTOMATICA,NAFTA,EURO VI,782,9/12/2020,PC19050271,IDIADA,249,16.7,7.9,11,11
McLAREN,570S COUPÉ,COUPÉ,4x2,McLAREN 38JBAE,3799,419,AUTOMATICA,NAFTA,EURO VI,786,11/12/2020,PC19050270,IDIADA,249,16.7,7.9 ,11,11
AUDI,RSQ8,HATCHBACK 4 PUERTAS CON PORTÓN TRASERO,4x4,AUDI DHUB / CONTINENTAL BSG-HP1-65,3996,441,AUTOMATICA,ELECTRICIDAD,EURO VI,890,18/07/2021,AUA6076A,ATE - EL,283,16.9,9.3,12.1,12.1
HAVAL,H9,RURAL,4x4,GREAT WALL GW4C20,1967,,AUTOMATICA,NAFTA,EURO V,,18/12/2018,88-R101-814/17-00,TÜV Rheinland,288,17.2,9.8,12.5,12.5
CHEVROLET,CAMARO 6.2,SEDÁN 3 PUERTAS COUPÉ,4x2,CHEVROLET LT1 - 6.2L,6162,,MANUAL,NAFTA,EURO VI a,,30/08/2016,LCA 53 0012 297 15,LUXCONTROL S.A.,260,17.4,7.8,11.3,11.3
CHEVROLET,CAMARO,COUPÉ,4x2,CHEVROLET LT1 - 6.2L,6162,333,MANUAL,NAFTA,EURO VI,551,9/12/2019,LCA 53 0012 297 15,LUXCONTROL S.A.,260,17.4,7.8,11.3,11.3
FORD,F150,PICK UP,4x4,FORD 5.0L DOHC / 5.0L DOHC PDFI NAFTA,5038,295,AUTOMATICA,NAFTA,Euro V,680,19/06/2020,7247129,VCA,282,17.7,9.4,12.4,12.4
MERCEDES-AMG,MERCEDES-AMG GT BLACK SERIES,COUPÉ 2 PUERTAS,4x2,MERCEDES-BENZ 178.980,3982,537,AUTOMATICA,NAFTA,EURO VI,781,9/12/2020,42.04.1491.00,TÜV NORD,299,18.0,10.4,13.2,13.2
CHEVROLET,CAMARO 6.2,CONVERTIBLE,4x2,CHEVROLET LT1 - 6.2L,6162,,MANUAL,NAFTA,EURO VI a,,30/08/2016,LCA 53 0012 297 15,LUXCONTROL S.A.,269,18.1,8.1,11.7,11.7
CHEVROLET,CAMARO,CONVERTIBLE,4x2,CHEVROLET LT1 - 6.2L,6162,333,MANUAL,NAFTA,EURO VI,551,9/12/2019,LCA 53 0012 297 16,LUXCONTROL S.A.,269,18.1,8.1,11.7,11.7
MASERATI,LEVANTE GTS,SUV,4x4,MASERATI M161A (404 kW),3798,,MANUAL,NAFTA,EURO VI b,,14/05/2019,J0391/2.1/BO,CENTRO PROVA AUTOVEICOLI DI BOLOGNA,310.8,19.02,10.63,13.69,13.69
MASERATI,LEVANTE TROFEO,SUV,4x4,MASERATI M161A (434 kW),3798,,MANUAL,NAFTA,EURO VI b,,14/05/2019,J0391/2.1/BO,CENTRO PROVA AUTOVEICOLI DI BOLOGNA,220,19.02,10.63,13.69,
PORSCHE,911 GT3 RS,COUPÉ 2 PUERTAS,4x2,PORSCHE DGG,3996,,MANUAL,NAFTA,EURO V,,13/08/2018,42.07.235.01,TÜV NORD Mobilität,296.8,19.2,9.0,12.8,12.8
FORD,MUSTANG,COUPÉ,4x2,FORD 5.0L,5038,,MANUAL,NAFTA,EURO VI b,,12/12/2017,TR83-USS379968-003,VCA,290.13,19.29,8.96,12.73,12.73
FORD,MUSTANG,COUPÉ,4x2,FORD 5.0L,5038,343,AUTOMATICA,NAFTA,402,,19/07/2019,TR83-USS379968-004,VCA,295,19.3,9.3,13.0,
LAND ROVER,RANGE ROVER SPORT,RURAL 4/5 PUERTAS,4x4,FORD 508PS,4999,,MANUAL,NAFTA,EURO VI b,,21/06/2018,ESS384911,VCA,310,19.8,10.0,13.6,
TOYOTA,C-HR,SEDÁN 5 PUERTAS (HATCHBACK),4x2,TOYOTA 2ZR-FKE / TOYOTA 1NM,1798,72,AUTOMATICA,ELECTRICIDAD,440,,9/8/2019,JSV457596,VCA,99,2.39,5.53,4.38,
JEEP,GRAND CHEROKEE SRT,BERLINA,4x4,FCA 6.4L o J,5000,344,AUTOMATICA,NAFTA,EURO VI,577,10/1/2020,RDW-715/2007-0022032,RDW,315,20.3,9.6,13.5,
RAM,RAM 1500SLT 5.7L AT8,PICK UP,4x4,FCA 5.7L (TNXE),5654,291,AUTOMATICA,NAFTA,EURO V,889,18/07/2021,6210460,FCA CHRYSLER AUTOMOVEIS BRASIL,210,20.91,11.29,14.85,
FERRARI,812 SUPERFAST,COUPÉ,4x2,FERRARI F140GA,4000,585,MANUAL,NAFTA,431,,2/8/2019,H0743/2.1/BO ,CENTRO PROVA AUTOVEICOLI DI BOLOGNA,340,21.4,11.1,14.9,
MASERATI,GRAN TURISMO S. GRAN TURISMO MC,COUPÉ,4x2,MASERATI M145B,4691,,AUTOMATICA,NAFTA,EURO V,,18/12/2018,D0566/CC/BO,CENTRO PROVA AUTOVEICOLI BOLOGNA,360,23.80,10.70,15.50,
TOYOTA,PRIUS,SEDÁN 5 PUERTAS,4x2,TOYOTA 2ZR-FXE / TOYOTA 1NM ,1798,,MANUAL,NAFTA,EURO V,,11/4/2019,JSQ326127,VCA,88,3.7,3.8,3.8,
TOYOTA,PRIUS,SEDÁN 5 PUERTAS,4x2,TOYOTA 2ZR-FXE NAFTA ELÉCTRICO,1798,,MANUAL,NAFTA,EURO V,,18/12/2017,JSQ326127,VCA,230,3.8,3.8,3.8,
HYUNDAI,IONIQ HYBRID LH BLUE DRIVE,SEDÁN 5 PUERTAS,4x2,HYUNDAI G4LE / HYUNDAI MOBIS 36500-2BDB0,1580,,MANUAL,ELECTRICIDAD,EURO V,,13/03/2018,83-V039-45954-30,TÜV Rheinland,91,3.9,3.9,4.0,
FORD,KUGA 2.5L FHEV,SUV,4x2,FORD 2.5L DURA D4 IVCT ATK FHEV / TOSHIBA PERMANENT MAGNET SYNCHRONOUS AC MOTOR,2488,121,AUTOMATICA,ELECTRICIDAD,460,,20/08/2019,3071-603239,TÜV Rheinland,120,4.1,5.8,5.1,
PEUGEOT,208,BERLINA 5 PUERTAS,4x2,PEUGEOT DV6DTED (9HP),1560,,MANUAL,GAS OIL,EURO V,,13/06/2016,15/06824,UTAC,330,4.6,3.5,3.9,
FORD,ECOSPORT,SUV 5 PUERTAS,4x2,PSA 1.5 DV5D ,1498,,MANUAL,GAS OIL,EURO V,,,16TXP0445-00,TÜV Rheinland,120.1,4.84,4.43,4.58,
TOYOTA,RAV4,SUV,4x2,TOYOTA A25A-FXS / TOYOTA 3NM,2487,,AUTOMATICA,ELECTRICIDAD,257,,28/03/2019,H1860161643/272,VINÇOTTE nv,106,4.9,4.8,4.7,
CITROËN,C4 SPACETOURER / GRAND C4 SPACETOURER ,MONOVOLUMEN 5 PLAZAS / MONOVULUMEN 7 PLAZAS,4x2,CITROËN 9HC (DV6C),1560,85,MANUAL,GAS OIL,388,,3/6/2019,13/06433,UTAC,112.5,5.09,3.69,4.19,
RENAULT,KANGOO 1.5 FURGÓN,FURGÓN 4,4x2,4x2,5000,1461,MANUAL,GAS OIL,EURO V,,,,PV 11/07100,118.4,5.15,4.11,4.5,
RENAULT,KANGOO 1.5,SEDÁN 4,4x2,4x2,1200,1461,MANUAL,GAS OIL,EURO V,,,,PV 11/07100,118.4,5.15,4.11,4.5,
RENAULT,KANGOO 1.5 CROSS,SEDÁN 5 Y 6 PUERTAS,4x2,RENAULT K9K C6,1461,66,MANUAL,GAS OIL,EURO V,,,PV 11/07100,UTAC,118.4,5.15,4.11,4.5,
LEXUS,IS300H,SEDÁN 4 PUERTAS,4x2,TOYOTA 2AR-FSE / TOYOTA 1KM ,2494,133,AUTOMATICA,ELECTRICIDAD,312,,25/04/2019,VCAJSOC-2015,VCA,115,5.2,5,4.96,
LEXUS,NX350H,SUV,4x4,TOYOTA A25A-FXS / TOYOTA 5NM (Delantero),2000,2487,AUTOMATICA,ELECTRICIDAD,EURO VI,,908,20/08/2021,H2160161643/1238,114,5.3,5.0,5.0,
FORD,MONDEO HYBRID,SEDÁN 4 PUERTAS,4x2, FORD 2.0L PETROL - ELECTRO / TOSHIBA PERMANENT MAGNET AC MOTOR,1999,,AUTOMATICA,ELECTRICIDAD,197,,18/12/2018,UST406233-1,VCA,111,5.4,4.7,4.9,
LEXUS,RX450H,SUV,4x4,TOYOTA 2GR-FXS / TOYOTA 6JM (Delantero),3000,3456,AUTOMATICA,ELECTRICIDAD,EURO VI b,,443,9/8/2019,H1960738528/335,133,5.8,5.7,5.7,
MERCEDES-BENZ,E 220 d 4MATIC ALL TERRAIN,FAMILIAR 4 PUERTAS,4x4,MERCEDES-BENZ 654.920,1950,,MANUAL,GAS OIL,EURO VI b,,7/5/2018,42.04.1342.06,TÜV NORD Mobilität,140,6.0,5.0,5.3,
MINI,COOPER,SEDÁN 3 PUERTAS,4x2,MINI B38A15A,1499,,MANUAL,NAFTA,EURO VI c,,2/8/2018,201742574,DEKRA,122,6.2,4.8,5.3,
DS,DS 7 CROSSBACK,RURAL 5 PUERTAS,4x2,PSA DW10FC (EHZ),1997,,MANUAL,GAS OIL,EURO V,,15/08/2018,18/00879,UTAC,138.5,6.3,4.7,5.3,
LEXUS,NX300H,SUV,4x4,TOYOTA: 2AR-FXE / 2JM (Delantero) / 2FM (Trasero),2494,,AUTOMATICA,ELECTRICIDAD,192,,29/11/2018,H1860666086/097,AIV-VINÇOTTE International n.v.,140,6.3,5.8,6.0,
MINI,COOPER,SEDÁN 5 PUERTAS,4x2,MINI B38A15A,1499,,MANUAL,NAFTA,EURO VI c,,2/8/2018,201742574,DEKRA,123,6.3,4.9,5.4,
AUDI,A1,HATCHBACK 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DKJA,999,85,MANUAL,NAFTA,475,,27/08/2019,AUA5866A,ATE - EL,123,6.3,4.9,5.4,
BMW,118i,SEDÁN 3/5 PUERTAS,4x2,BMW B38B15A (100 kW),1499,,MANUAL,NAFTA,EURO VI b,,4/9/2015,201535562,DEKRA,200,6.4,4.6,5.2,
MINI,COOPER,SEDÁN 5 PUERTAS,4x2,MINI B38A15A,1499,,MANUAL,NAFTA,EURO VI c,,2/8/2018,201742555,DEKRA,119,6.4,4.5,5.2,
MINI,COOPER,SEDÁN 3 PUERTAS,4x2,MINI B38A15A,1499,,MANUAL,NAFTA,EURO VI c,,2/8/2018,201742555,DEKRA,118,6.4,4.5,5.2,
MINI,COOPER,CONVERTIBLE,4x2,MINI B38A15F,1499,,MANUAL,NAFTA,EURO VI c,,2/8/2018,201742574,DEKRA,129,6.5,5.2,5.6,
ZOTYE,Z100,SEDÁN 4 PUERTAS Y PORTÓN TRASERO,4x2,UIZHAN TNN3G10K,997,50,MANUAL,NAFTA,EURO V,,8/5/2019,13-00447-CP-SHA-00,TÜV SÜD Auto Service,128,6.5,4.7,5.3,
RENAULT,KWID 1.0 12V,SEDÁN 5 PUERTAS,4x2,RENAULT B4D 405,999,48,MANUAL,NAFTA,EURO V,,23/04/2019,0110/16,DELPHI,120.64,6.52,4.37,5.17,
RENAULT,KWID Ph2 1.0,SEDÁN 5 PUERTAS,4x2,RENAULT B4D A 426,999,48,MANUAL,NAFTA,EURO V,909,26/08/2021,C1_210716_002 - C1_210717_002 ,LABORATORIO DE EMISIONES VEHICULARES RENAULT DO BRASIL,119.83,6.53,4.41,5.15,
LEXUS,GS450H,SEDÁN 4 PUERTAS,4x2,TOYOTA 2GR-FXE,3456,,MANUAL,ELECTRICIDAD,EURO V,,31/08/2016,H16600550047/066,VINÇOTTE nv,145,6.6,5.9,6.2,
MINI,COOPER,CONVERTIBLE,4x2,MINI B38A15F,1499,,MANUAL,NAFTA,EURO VI c,,2/8/2018,201742555,DEKRA,128,6.6,5.0,5.6,
PEUGEOT,308,BERLINA 5 PUERTAS,4x2,PEUGEOT DV6C (9HD),1560,82,MANUAL,GAS OIL,395,,18/06/2019,I + D PE D300 T1 Eva. 1/2019,LCEGV,154.56,6.65,5.41,5.87,
MINI,COOPER S,SEDÁN 3 PUERTAS,4x2,MINI B48A20A,1998,,MANUAL,NAFTA,EURO VI c,,31/08/2018,201742588,DEKRA,125,6.8,4.8,5.5,
VOLKSWAGEN,UP! - UP! TSI,SEDÁN 2 o 4 PUERTAS CON PORTÓN TRASERO,4x2,VOLKSWAGEN DNB,999,,MANUAL,NAFTA,EURO V,,27/06/2017,259/16,LABORATORIO DE VOLKSWAGEN DO BRASIL,126.67,6.9,4.58,5.44,
HYUNDAI,TUCSON,SUV,4x4,HYUNDAI D4HA,1995,,MANUAL,GAS OIL,EURO V,,20/11/2015,VSR337023,VCA,300,6.9,4.8,5.6,
CITROËN / DS,DS 3,BERLINA 3 PUERTAS,4x2,4x2,4000,1598,MANUAL,NAFTA,EURO VI b,,,29/06/2016,15/09978,220,6.9,4.6,5.4,
MINI,COOPER S,SEDÁN 5 PUERTAS,4x2,MINI B48A20A,1998,,MANUAL,NAFTA,EURO VI c,,31/08/2018,201742588,DEKRA,128,6.9,4.9,5.6,
MINI,COOPER S,CONVERTIBLE,4x2,MINI B48A20F,1998,,MANUAL,NAFTA,EURO VI c,,31/08/2018,201742689,DEKRA,131,7.0,5.1,5.7,
FORD,KA,SEDÁN 4 / 5 PUERTAS,4x2,FORD 1.5L Dragon Ti-VCT,1496,90.5,MANUAL,NAFTA,EURO V,,6/7/2018,TPG142379,FORD MOTR COMPANY,134.16,7.04,5.04,5.77,
MINI,JOHN COOPER WORKS,SEDÁN 3 PUERTAS,4x2,MINI B48A20B,1998,,MANUAL,NAFTA,EURO VI c,,31/08/2018,201742506,DEKRA,137,7.1,5.3,6.0,
TOYOTA,YARIS,SEDÁN 4/5 PUERTAS,4x2,TOYOTA 2NR-FE,1496,,MANUAL,NAFTA,EURO V,,6/2/2018,H1760615689/278 TR,VINÇOTTE nv,136.2,7.19,5.07,5.85,
PEUGEOT,508,SEDÁN 4 PUERTAS,4x2,PSA EP6FADTX (5GG),1598,,MANUAL,NAFTA,EURO VI b,,4/12/2018,17/09572,UTAC,131.65,7.19,4.96,5.78,
AUDI,A5 - A5 SPORTBACK,SEDÁN 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMATICA,ELECTRICIDAD,154,,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,132,7.2,4.9,5.7,
AUDI,A5 - A5 COUPE,COUPÉ 2 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMATICA,ELECTRICIDAD,154,,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,131,7.2,4.9,5.8,
SUZUKI,VITARA,RURAL 5 PUERTAS 2WD,4x2,SUZUKI M16A,1586,,MANUAL,NAFTA,EURO V,,24/06/2015,RDW-83R-0023329,RDW,200,7.26,5.26,6.00,
HONDA,FIT,SEDÁN 5 PUERTAS,4x2,HONDA L15ZA,1496,,MANUAL,NAFTA,EURO V,,31/01/2018,T02 BST402848 01,VCA,137.51,7.28,5.08,5.90,
HONDA,FIT,SEDÁN 5 PUERTAS,4x2,HONDA L15ZA,1496,88,MANUAL,NAFTA,399,,1/7/2019,T02 BST402848 01,VCA,137.51,7.28,5.08,5.90,
PEUGEOT / CITROËN,TRAVELLER / SPACETOURER,MICROOMNIBUS,4x2,PEUGEOT / CITROËN DW10FD (AHX),1997,,MANUAL,GAS OIL,EURO VI,,22/06/2018,16/06167,UTAC,165.1,7.3,5.8,6.4,
BMW,X2 sDrive 18i,RURAL,4x2,BMW B38A15A,1499,,MANUAL,NAFTA,EURO VI c,,25/07/2018,201743657,DEKRA,139,7.3,5.4,6.1,
MERCEDES-BENZ,A 200,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1333,,MANUAL,NAFTA,EURO VI b,,16/05/2018,42.04.1408.00,TÜV NORD Mobilität,133,7.3,5.0,5.8,
AUDI,A4,SEDÁN 4 PUERTAS,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMATICA,ELECTRICIDAD,154,,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,131,7.3,4.9,5.8,
TOYOTA,ETIOS AIBO,FURGONETA,4x2,4x2,2000,1496,MANUAL,NAFTA,EURO V,,915,9/9/2021,H2160738528/1198,137,7.37,5.02,5.89,
MERCEDES-BENZ,A 180,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMATICA,NAFTA,EURO VI b,,18/10/2018,42.04.1408.01,TÜV NORD Mobilität,131.5,7.4,4.9,5.8,
BMW,X1 sDrive 20i,RURAL,4x2,BMW B48A20A,1998,,MANUAL,NAFTA,EURO VI c,,22/01/2018,201741950,DEKRA,139,7.4,5.3,6.1,
BMW,X2 sDrive 20i,RURAL,4x2,BMW B48A20A,1998,,MANUAL,NAFTA,EURO VI c,,31/01/2018,201742594,DEKRA,138,7.4,5.3,6.0,
AUDI,A4 - A4 AVANT,RURAL 4 PUERTAS CON PORTÓN TRASERO,4x2,AUDI DEMA / VALEO IST60S,1984,,AUTOMATICA,ELECTRICIDAD,154,,21/09/2018,AUA5387A,ATE-EL LUXEMBOURG,136,7.4,5.1,6.0,
BMW,120i / 220i,SEDÁN 5 PUERTAS / COUPÉ,4x2,BMW B48B20A,1998,135,MANUAL,NAFTA,EURO VI b,,13/09/2016,201638653,DEKRA,135,7.4,5,5.9,
VOLKSWAGEN,NIVUS,HATCHBACK 4 PUERTAS CON PORTÓN TRASERO,4x2,VOLKSWAGEN DRP,999,70,MANUAL,NAFTA,EURO VI,862,4/5/2021,BR21030007,IDIADA,135,7.4,5,5.9,
MERCEDES-BENZ,B 200,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1332,,MANUAL,NAFTA,EURO VI b,,17/04/2019,42.04.1408.02,TÜV NORD Mobilität,134,7.4,4.9,5.9,
MERCEDES-BENZ,A 200,FAMILIAR,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMATICA,NAFTA,EURO VI,,27/02/2019,42.04.1408.01,TÜV NORD Mobilität,133,7.4,4.9,5.8,
MERCEDES-BENZ,A 200,SEDÁN,4x2,MERCEDES-BENZ 282.914,1332,,AUTOMATICA,NAFTA,EURO VI,,27/02/2019,42.04.1408.01,TÜV NORD Mobilität,132,7.4,4.8,5.8,
MERCEDES-BENZ,CLA 200,SEDÁN 4 PUERTAS,4x2,MERCEDES-BENZ 282.914,1332,120,AUTOMATICA,NAFTA,EURO VI,641,19/03/2020,42.04.1408.03,TÜV NORD,132,7.4,4.8,5.8,
PEUGEOT,308,BERLINA 5 PUERTAS,4x2,PEUGEOT,1598,,MANUAL,NAFTA,EURO V,,17/08/2018,18/00793,UTAC,136.96,7.46,5.17,6.01,
HYUNDAI,GRAND i10,SEDÁN 5 PUERTAS,4x2,HYUNDAI G4LA,1248,,MANUAL,NAFTA,EURO V,,31/01/2017,KR14040131,IDIADA,120,7.46,4.97,5.89,
