"317601,""Comuna 1"",""CONSTITUCION"",-34.625128,-58.391239,""2018-11-03"",""13:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"318526,""Comuna 1"",""CONSTITUCION"",-34.629101,-58.384265,""2018-11-03"",""03:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"320088,""Comuna 1"",""MONTSERRAT"",-34.608637,-58.380661,""2018-11-03"",""20:24:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"320115,""Comuna 1"",""SAN NICOLAS"",-34.608398,-58.380474,""2018-11-03"",""21:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"320135,""Comuna 1"",""SAN NICOLAS"",-34.605999,-58.380217,""2018-11-03"",""10:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"359360,,,0,0,""2018-11-03"",""11:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"358323,""Comuna 9"",""PARQUE AVELLANEDA"",-34.658266,-58.478285,""2018-11-03"",""22:15:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"358562,""Comuna 9"",""PARQUE AVELLANEDA"",-34.638659,-58.474045,""2018-11-03"",""16:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"356557,""Comuna 9"",""MATADEROS"",-34.667959,-58.493606,""2018-11-03"",""07:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"358224,""Comuna 9"",""PARQUE AVELLANEDA"",-34.641301,-58.479928,""2018-11-03"",""18:38:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"359549,,,0,0,""2018-11-03"",""18:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"355794,""Comuna 9"",""MATADEROS"",-34.654463,-58.505709,""2018-11-03"",""12:24:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"355637,""Comuna 9"",""MATADEROS"",-34.654766,-58.508235,""2018-11-03"",""21:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"359344,,,0,0,""2018-11-03"",""09:09:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"320796,""Comuna 1"",""MONTSERRAT"",-34.60919,-58.374899,""2018-11-03"",""17:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"321341,""Comuna 1"",""MONTSERRAT"",-34.611735,-58.379061,""2018-11-03"",""13:50:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"322067,""Comuna 1"",""SAN TELMO"",-34.616541,-58.373076,""2018-11-03"",""13:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"322277,""Comuna 1"",""SAN TELMO"",-34.61848,-58.371608,""2018-11-03"",""14:20:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"322771,""Comuna 1"",""MONTSERRAT"",-34.615156,-58.367561,""2018-11-03"",""15:50:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"322773,""Comuna 1"",""SAN TELMO"",-34.615871,-58.367532,""2018-11-03"",""16:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323003,""Comuna 2"",""RECOLETA"",-34.585758,-58.406055,""2018-11-03"",""09:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323482,""Comuna 2"",""RECOLETA"",-34.588896,-58.397676,""2018-11-03"",""17:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323655,""Comuna 2"",""RECOLETA"",-34.594328,-58.395703,""2018-11-03"",""02:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323750,""Comuna 2"",""RECOLETA"",-34.588625,-58.394125,""2018-11-03"",""03:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323799,""Comuna 2"",""RECOLETA"",-34.593893,-58.393399,""2018-11-03"",""14:40:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323824,""Comuna 2"",""RECOLETA"",-34.583014,-58.393129,""2018-11-03"",""18:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"323991,""Comuna 2"",""RECOLETA"",-34.584756,-58.391726,""2018-11-03"",""14:15:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"324254,""Comuna 2"",""RECOLETA"",-34.589973,-58.387935,""2018-11-03"",""14:45:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"324462,""Comuna 5"",""ALMAGRO"",-34.597987,-58.414518,""2018-11-03"",""15:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"325054,""Comuna 2"",""RECOLETA"",-34.589532,-58.407788,""2018-11-03"",""19:01:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"325488,""Comuna 2"",""RECOLETA"",-34.595794,-58.402599,""2018-11-03"",""06:45:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"325599,""Comuna 2"",""RECOLETA"",-34.596758,-58.40168,""2018-11-03"",""07:18:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"326207,""Comuna 2"",""RECOLETA"",-34.595894,-58.39319,""2018-11-03"",""20:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"326312,""Comuna 2"",""RECOLETA"",-34.596523,-58.391934,""2018-11-03"",""21:10:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"326412,""Comuna 2"",""RECOLETA"",-34.599427,-58.389684,""2018-11-03"",""21:50:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"326915,""Comuna 3"",""BALVANERA"",-34.610983,-58.411764,""2018-11-03"",""04:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"327940,""Comuna 3"",""BALVANERA"",-34.60071,-58.406653,""2018-11-03"",""23:25:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"328415,""Comuna 3"",""BALVANERA"",-34.601726,-58.405934,""2018-11-03"",""14:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"328456,""Comuna 3"",""BALVANERA"",-34.610272,-58.405803,""2018-11-03"",""11:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"328783,""Comuna 3"",""BALVANERA"",-34.613478,-58.404788,""2018-11-03"",""22:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"329463,""Comuna 3"",""BALVANERA"",-34.602221,-58.399724,""2018-11-03"",""17:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"329466,""Comuna 3"",""BALVANERA"",-34.604508,-58.399698,""2018-11-03"",""19:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"329467,""Comuna 3"",""BALVANERA"",-34.604508,-58.399698,""2018-11-03"",""19:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"329470,""Comuna 3"",""BALVANERA"",-34.603343,-58.399557,""2018-11-03"",""09:40:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"329652,""Comuna 3"",""BALVANERA"",-34.604579,-58.398225,""2018-11-03"",""23:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo Automotor"",0,0"
"329927,""Comuna 3"",""BALVANERA"",-34.600933,-58.39567,""2018-11-03"",""11:56:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"330104,""Comuna 3"",""BALVANERA"",-34.600871,-58.394217,""2018-11-03"",""06:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"330111,""Comuna 3"",""BALVANERA"",-34.604549,-58.394172,""2018-11-03"",""18:50:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"330243,""Comuna 3"",""BALVANERA"",-34.605698,-58.393307,""2018-11-03"",""12:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"332446,""Comuna 4"",""PARQUE PATRICIOS"",-34.630928,-58.408816,""2018-11-03"",""23:17:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"332573,""Comuna 4"",""PARQUE PATRICIOS"",-34.642779,-58.406029,""2018-11-03"",""16:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"333088,""Comuna 4"",""PARQUE PATRICIOS"",-34.644622,-58.40025,""2018-11-03"",""16:46:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"333240,""Comuna 4"",""PARQUE PATRICIOS"",-34.633035,-58.396855,""2018-11-03"",""20:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"333750,""Comuna 4"",""NUEVA POMPEYA"",-34.652012,-58.427603,""2018-11-03"",""15:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"334227,""Comuna 4"",""NUEVA POMPEYA"",-34.65542,-58.418082,""2018-11-03"",""02:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"334475,""Comuna 4"",""NUEVA POMPEYA"",-34.648423,-58.416287,""2018-11-03"",""05:46:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"334502,""Comuna 4"",""NUEVA POMPEYA"",-34.655268,-58.416256,""2018-11-03"",""03:35:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"335111,""Comuna 4"",""LA BOCA"",-34.634008,-58.370333,""2018-11-03"",""15:10:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"335250,""Comuna 4"",""LA BOCA"",-34.645624,-58.368396,""2018-11-03"",""04:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"335601,""Comuna 4"",""LA BOCA"",-34.630055,-58.363605,""2018-11-03"",""19:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"335719,""Comuna 4"",""LA BOCA"",-34.635653,-58.362295,""2018-11-03"",""00:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"335720,""Comuna 4"",""LA BOCA"",-34.635575,-58.362293,""2018-11-03"",""00:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"336126,""Comuna 4"",""LA BOCA"",-34.637943,-58.357253,""2018-11-03"",""01:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"336162,""Comuna 4"",""LA BOCA"",-34.636437,-58.356626,""2018-11-03"",""15:39:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"336264,""Comuna 4"",""LA BOCA"",-34.635697,-58.354612,""2018-11-03"",""21:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"336520,""Comuna 4"",""BARRACAS"",-34.651086,-58.400544,""2018-11-03"",""18:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"336566,""Comuna 4"",""BARRACAS"",-34.657419,-58.399376,""2018-11-03"",""04:48:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"336866,""Comuna 4"",""BARRACAS"",-34.648448,-58.392445,""2018-11-03"",""21:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"338019,""Comuna 4"",""BARRACAS"",-34.637816,-58.374689,""2018-11-03"",""15:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"338161,""Comuna 4"",""BARRACAS"",-34.643,-58.373653,""2018-11-03"",""23:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"338781,""Comuna 5"",""ALMAGRO"",-34.601017,-58.42917,""2018-11-03"",""01:15:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"338999,""Comuna 5"",""ALMAGRO"",-34.60126,-58.427642,""2018-11-03"",""00:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"339024,""Comuna 5"",""ALMAGRO"",-34.605193,-58.427524,""2018-11-03"",""21:11:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"339299,""Comuna 5"",""ALMAGRO"",-34.604318,-58.424795,""2018-11-03"",""11:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"339525,""Comuna 5"",""ALMAGRO"",-34.605338,-58.422884,""2018-11-03"",""19:30:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"340546,""Comuna 5"",""ALMAGRO"",-34.606887,-58.41728,""2018-11-03"",""06:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"340928,""Comuna 5"",""ALMAGRO"",-34.602651,-58.415474,""2018-11-03"",""13:40:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"341505,""Comuna 5"",""BOEDO"",-34.629392,-58.426216,""2018-11-03"",""16:00:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
"341564,""Comuna 5"",""BOEDO"",-34.626405,-58.425596,""2018-11-03"",""14:45:00"",""SIN USO DE ARMA"",""SIN MOTO"",,,""Robo (Con violencia)"",0,0"
